,Num_DRS,DRS,Num_GVE,GVE,Num_Região_Saúde,RegiãodeSaúde,Num_Municipio
130,16,Sorocaba,XXXI,SOROCABA,35161,ITAPETININGA,351150
131,16,Sorocaba,XXXI,SOROCABA,35161,ITAPETININGA,351160
132,10,Piracicaba,XX,PIRACICABA,35103,PIRACICABA,351170
133,2,Araçatuba,XI,ARAÇATUBA,35023,CONSÓRCIOS DO DRS II,351190
134,5,Barretos,XIV,BARRETOS,35051,NORTE-BARRETOS,351200
135,5,Barretos,XIV,BARRETOS,35051,NORTE-BARRETOS,351210
136,10,Piracicaba,XX,PIRACICABA,35101,ARARAS,351220
137,6,Bauru,XVI,BOTUCATU,35063,POLO CUESTA,351230
138,10,Piracicaba,XX,PIRACICABA,35102,LIMEIRA,351240
139,2,Araçatuba,XI,ARAÇATUBA,35023,CONSÓRCIOS DO DRS II,351250
140,6,Bauru,XVI,BOTUCATU,35061,VALE DO JURUMIRIM,351260
141,10,Piracicaba,XX,PIRACICABA,35104,RIO CLARO,351270
142,7,Campinas,XVII,CAMPINAS,35072,REG METRO CAMPINAS,351280
143,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35157,VOTUPORANGA,351290
144,1,São Paulo,X,OSASCO,35013,MANANCIAIS,351300
145,13,Riberão Preto,XXIV,RIBEIRÃO PRETO,35132,AQUÍFERO GUARANI,351310
146,8,Franca,XVIII,FRANCA,35081,TRÊS COLINAS,351320
147,9,Marília,XIII,ASSIS,35092,ASSIS,351330
148,17,Taubaté,XXXIII,TAUBATÉ,35172,CIRCUITO DA FÉ - VALE HISTÓRICO,351340
149,4,Baixada Santista,XXV,SANTOS,35041,BAIXADA SANTISTA,351350
150,17,Taubaté,XXXIII,TAUBATÉ,35172,CIRCUITO DA FÉ - VALE HISTÓRICO,351360
151,3,Araraquara,XII,ARARAQUARA,35034,CORAÇÃO DO DRS III,351370
152,1,São Paulo,VII,SANTO ANDRÉ,35015,GRANDE ABC,351380
153,15,São José do Rio Preto,XXX,JALES,35153,JALES,351385
154,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35143,RIO PARDO,351390
155,3,Araraquara,XII,ARARAQUARA,35033,NORTE DO DRS III,351400
156,6,Bauru,XV,BAURU,35064,JAU,351410
157,15,São José do Rio Preto,XXX,JALES,35153,JALES,351420
158,3,Araraquara,XII,ARARAQUARA,35034,CORAÇÃO DO DRS III,351430
159,11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,35111,ALTA PAULISTA,351440
160,6,Bauru,XV,BAURU,35062,BAURU,351450
161,13,Riberão Preto,XXIV,RIBEIRÃO PRETO,35131,HORIZONTE VERDE,351460
162,9,Marília,XIX,MARÍLIA,35093,MARÍLIA,351470
163,12,Registro,XXIII,REGISTRO,35121,VALE DO RIBEIRA,351480
164,10,Piracicaba,XX,PIRACICABA,35103,PIRACICABA,351490
165,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35151,CATANDUVA,351492
166,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35151,CATANDUVA,351495
167,1,São Paulo,X,OSASCO,35013,MANANCIAIS,351500
168,1,São Paulo,X,OSASCO,35013,MANANCIAIS,351510
169,11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,35112,ALTA SOROCABANA,351512
170,10,Piracicaba,XX,PIRACICABA,35102,LIMEIRA,351515
171,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,351518
172,9,Marília,XIII,ASSIS,35094,OURINHOS,351519
173,15,São José do Rio Preto,XXX,JALES,35154,FERNANDÓPOLIS,351520
174,11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,35112,ALTA SOROCABANA,351530
175,11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,35115,PONTAL DO PARANAPANEMA,351535
176,6,Bauru,XVI,BOTUCATU,35061,VALE DO JURUMIRIM,351540
177,15,São José do Rio Preto,XXX,JALES,35154,FERNANDÓPOLIS,351550
